Time,Rectus Femoris,Vastus Medialis,Vastus Lateralis,Bicep Femoris,Tibialis,Gastrocnemius Medialis,Trimmed Time
36.54865385,2.8084804353410203e-06,1.6799684934848497e-06,2.2106471021085685e-06,2.127929826581927e-06,2.2434065362960828e-05,2.0329456783285547e-06,31.19590385
36.54917308,2.804408422466967e-06,1.6763465214665297e-06,2.202058924126097e-06,2.117921579346625e-06,2.238069603028677e-05,2.034825617702321e-06,31.196423080000002
36.54969231,2.804236832987069e-06,1.6711391637924898e-06,2.1940014373591383e-06,2.1159587381842472e-06,2.229018549079449e-05,2.0335456562601883e-06,31.196942309999997
36.55021154,2.80406342292313e-06,1.6672607153916318e-06,2.1902032992631727e-06,2.1180082763829227e-06,2.226327352995932e-05,2.0318050169902685e-06,31.19746154
36.55073077,2.8084715932567235e-06,1.6645117559904272e-06,2.1950186196939407e-06,2.121194837993841e-06,2.226283675008838e-05,2.033985698249373e-06,31.19798077
36.55125,2.817295925193436e-06,1.66187051812582e-06,2.2019887808868e-06,2.120589574040645e-06,2.2248096538102373e-05,2.0411601924706687e-06,31.198500000000003
36.55176923,2.814206823174043e-06,1.6627868009315664e-06,2.2010507835811174e-06,2.121552362395384e-06,2.224614669186244e-05,2.0467360992187886e-06,31.199019229999998
36.55228846,2.812658859197657e-06,1.669453955290592e-06,2.200987613982573e-06,2.1347360746916688e-06,2.223808726734401e-05,2.0466001468618966e-06,31.19953846
36.55280769,2.824190355882186e-06,1.6742952286008876e-06,2.2080420936915744e-06,2.1503103246959e-06,2.219272013061201e-05,2.047468584458208e-06,31.20005769
36.55332692,2.828117589604391e-06,1.6761363622710752e-06,2.204650811502969e-06,2.1545085153328043e-06,2.2079841488537945e-05,2.0502558456890925e-06,31.200576920000003
36.55384615,2.828806883755003e-06,1.6804724913367042e-06,2.185600039723489e-06,2.151480503759873e-06,2.1879379344814247e-05,2.0468599987585885e-06,31.201096149999998
36.55436538,2.830439477161404e-06,1.6880812581514044e-06,2.1671449730268157e-06,2.1501321086208827e-06,2.169060597407909e-05,2.0397869790852147e-06,31.20161538
36.55488462,2.828651255201456e-06,1.6997132901617676e-06,2.157080354517523e-06,2.1499870436533392e-06,2.16533378148812e-05,2.037484630533201e-06,31.202134620000002
36.55540385,2.840942227091993e-06,1.71763375875286e-06,2.154513116114471e-06,2.1501149421659094e-06,2.160840932918843e-05,2.040420034295344e-06,31.202653849999997
36.55592308,2.854291231738711e-06,1.7417997938976489e-06,2.1555399800538003e-06,2.148615002673545e-06,2.12358785852139e-05,2.045471953915457e-06,31.20317308
36.55644231,2.851833886655182e-06,1.7597780541001442e-06,2.162109487764834e-06,2.1455026916293363e-06,2.047389072311669e-05,2.0505804430670115e-06,31.20369231
36.55696154,2.851347508493386e-06,1.7630311664053951e-06,2.1739348595389298e-06,2.144866144109829e-06,1.94631245563001e-05,2.052125543257645e-06,31.204211540000003
36.55748077,2.8496509483476693e-06,1.7620829827473238e-06,2.1773417333467943e-06,2.1445334557848843e-06,1.8320959265268416e-05,2.0483561845734308e-06,31.204730769999998
36.558,2.845684867058053e-06,1.7616576721380816e-06,2.1759032219440728e-06,2.144649638015136e-06,1.7139983061257706e-05,2.044911691395504e-06,31.20525
36.55851923,2.854621284069613e-06,1.7537633138697252e-06,2.1813429632037058e-06,2.148454721790463e-06,1.6063077252092976e-05,2.045220017342724e-06,31.20576923
36.55903846,2.863874959444196e-06,1.739292978743962e-06,2.1860563551948496e-06,2.155248080510405e-06,1.5238204113184054e-05,2.047051756026002e-06,31.206288459999996
36.55955769,2.8651773927939573e-06,1.7251265205404058e-06,2.1837982697064934e-06,2.1670539969241963e-06,1.4725401589252631e-05,2.048964952636551e-06,31.206807689999998
36.56007692,2.8638034211177973e-06,1.7110755539366005e-06,2.17950138405607e-06,2.1797241841393777e-06,1.4499086882100487e-05,2.0501740900310917e-06,31.20732692
36.56059615,2.8556563872255237e-06,1.705200628602614e-06,2.178163689538154e-06,2.1793709879879023e-06,1.4470834363522563e-05,2.050748376158847e-06,31.20784615
36.56111538,2.846045801981217e-06,1.7266147102924956e-06,2.179570724768197e-06,2.1709798790101293e-06,1.4421353391896956e-05,2.051640013331032e-06,31.208365379999996
36.56163462,2.84361663481031e-06,1.771181786674032e-06,2.182153370341309e-06,2.170995881467044e-06,1.3985112536029394e-05,2.0530430669489084e-06,31.20888462
36.56215385,2.846740866951526e-06,1.809705787907668e-06,2.1801016328739403e-06,2.1659428021589228e-06,1.2902272416769e-05,2.053882492964965e-06,31.20940385
36.56267308,2.8520265280988755e-06,1.828676385267055e-06,2.165474527595346e-06,2.150673079181061e-06,1.1331282103635232e-05,2.053477393328114e-06,31.209923080000003
36.56319231,2.853955613118549e-06,1.836713446672954e-06,2.1486238689379656e-06,2.1481950579511072e-06,9.76714652702328e-06,2.0530165806419287e-06,31.210442309999998
36.56371154,2.8474861529117903e-06,1.8402747259804475e-06,2.1432827152709823e-06,2.1455689788442472e-06,8.57871908698434e-06,2.05327479160722e-06,31.21096154
36.56423077,2.845387577972322e-06,1.840898802019324e-06,2.146839529667148e-06,2.120425273528059e-06,7.757404652074364e-06,2.0540519898754384e-06,31.21148077
36.56475,2.850729584292304e-06,1.8430172984931528e-06,2.1556368326424283e-06,2.0948849702573984e-06,7.129813093643298e-06,2.0563906721929418e-06,31.211999999999996
36.56526923,2.8363576024025382e-06,1.8517039204437676e-06,2.164074569645796e-06,2.0875151752284444e-06,6.596709535611355e-06,2.060496899545798e-06,31.212519229999998
36.56578846,2.809999751988523e-06,1.8657188836666928e-06,2.165096407766414e-06,2.0865006104089413e-06,6.17574032551112e-06,2.0638038855810024e-06,31.21303846
36.56630769,2.80375208437424e-06,1.8726022140559288e-06,2.1675317481774784e-06,2.0858745284784217e-06,5.911677875986283e-06,2.06468440052182e-06,31.213557690000002
36.56682692,2.808872270959845e-06,1.8625293633187428e-06,2.1772489713240434e-06,2.088775532568904e-06,5.783802675191017e-06,2.064580596028217e-06,31.214076919999997
36.56734615,2.8101227935079326e-06,1.8480471759908348e-06,2.1858906901451887e-06,2.092642961626369e-06,5.728805976991576e-06,2.064742655999152e-06,31.21459615
